|               time |                signal |
|  588130801.0772742 |    2.5146950040658105 |
|   897713727.909418 |    5.2082291135666825 |
|   891530729.474708 |    2.2862956390087037 |
|   815837477.307684 |    -3.069739757020581 |
|  35889585.61685329 |   -1.8901212052303547 |
|   691757581.758884 |    -4.352068760211171 |
| 378680942.00540817 |    0.8212543611249276 |
|  518510945.4480806 |   -2.8616603485948735 |
|   657951465.558813 |    0.2735913133038227 |
|  193850217.8829483 |     3.833485399715794 |
| 272316402.06658393 |    -7.009860616003967 |
|  718605933.6011658 |    0.3326132543372917 |
|  783003609.4590105 |      -3.4853337826196 |
|  850327639.7749953 |  -0.06973051958283394 |
|  775244893.9943627 |    -2.186547089897213 |
|  36664306.42108576 |    -4.571250841085437 |
| 116693735.13289516 |   -3.7509116854371563 |
|  751280699.4877009 |    2.3446572996592487 |
|  239218216.1996095 |    1.1359855017455236 |
| 254806013.94214675 |   -0.9937776317666542 |
|  857625531.1697625 |    0.9609136940919467 |
|  949779026.1143028 |   -3.8413090440944857 |
|  561686858.0111579 |   -1.5208945408025223 |
| 178780519.84997657 |    0.7217040526921883 |
|  770251933.1384002 |    1.8103023817932633 |
| 492381039.61454946 |    1.9933397596227471 |
|  631253065.5635453 |    -0.672319922476772 |
|   839497922.913706 |    0.7656998207451633 |
| 461039396.29243076 |  0.029028662523590043 |
| 497940073.30730516 |    0.4186613990630996 |
|  679411117.5532508 |     -2.60565954426741 |
|  650785914.1233301 |   -0.2183077684964727 |
| 268795238.74435407 |   -1.8833540012345165 |
|  67324666.93901773 |   -0.3572001466637191 |
|  771445138.3585627 |     5.006967393587862 |
|  480984132.2996459 |      4.16936649824198 |
| 329206407.73364675 |   -2.5388452498483396 |
| 510641056.17515177 |    1.0444200185585457 |
| 263628828.66005677 |   -2.1977606952864823 |
|  310511550.0462974 |    0.2065621670737665 |
|  626853437.7163501 |     3.462368604622928 |
|  557449810.5722824 |    -4.082548809710554 |
|   318579559.579802 |   0.24596200698340856 |
|  394843220.8584274 |    -4.207964968497717 |
| 257974585.86518517 |    -1.337681648816868 |
|  582241123.2852156 |   -0.4718110926949024 |
| 161628710.44378734 |    -6.267580232273898 |
|  598133819.7650198 |     2.138430699881098 |
|  825823577.2560102 |    -2.734629664699012 |
| 156391718.51094723 |    -4.821277900726093 |
|  734300519.3170531 |    2.3338797283358934 |
| 408643432.07882226 |  -0.16732752505990156 |
|  778687904.3633301 |   -0.6778608702087506 |
