age,recognized_it
45.75537109375,0.0
25.877704620361328,0.0
36.83881759643555,0.0
68.35820770263672,1.0
5.353914260864258,0.0
14.117684364318848,0.0
55.306182861328125,1.0
66.93895721435547,0.0
15.252994537353516,0.0
48.13199996948242,1.0
71.8491439819336,1.0
20.69015884399414,0.0
18.899616241455078,0.0
13.128266334533691,0.0
21.477312088012695,0.0
78.39678192138672,1.0
65.87623596191406,1.0
17.89557647705078,0.0
66.21685791015625,1.0
25.555530548095703,0.0
37.37781524658203,0.0
75.50223541259766,1.0
66.32369995117188,1.0
30.208396911621094,1.0
18.155784606933594,0.0
32.96240234375,0.0
5.426638126373291,0.0
23.931976318359375,0.0
64.67469024658203,1.0
6.144123077392578,0.0
49.91325378417969,1.0
50.28533935546875,1.0
12.886075973510742,0.0
33.64575958251953,1.0
7.73570442199707,0.0
71.78086853027344,1.0
78.56906127929688,1.0
9.495649337768555,0.0
71.79094696044922,0.0
48.26761245727539,0.0
60.685977935791016,1.0
52.2637939453125,0.0
48.63816452026367,0.0
6.532934665679932,0.0
20.75199317932129,0.0
45.85136413574219,1.0
62.68363952636719,0.0
23.802143096923828,0.0
26.442176818847656,0.0
68.92963409423828,1.0
78.12548828125,1.0
71.36399841308594,1.0
31.963088989257812,0.0
49.91442108154297,0.0
31.609670639038086,0.0
30.514266967773438,0.0
18.3560733795166,0.0
22.82706642150879,0.0
8.364670753479004,0.0
42.90735626220703,1.0
33.21893310546875,0.0
49.46040344238281,1.0
52.24563980102539,1.0
15.695023536682129,0.0
75.03810119628906,1.0
75.9784927368164,1.0
50.17224884033203,1.0
34.08246994018555,0.0
32.23910140991211,0.0
20.325895309448242,0.0
25.75737953186035,0.0
23.490190505981445,0.0
18.020599365234375,0.0
77.4957275390625,1.0
76.77594757080078,0.0
49.848026275634766,0.0
59.847557067871094,1.0
30.528892517089844,0.0
11.904170036315918,0.0
39.762351989746094,0.0
43.15241622924805,0.0
11.634512901306152,0.0
44.60264205932617,0.0
79.41184997558594,1.0
34.62769317626953,0.0
30.16973304748535,0.0
65.4087905883789,1.0
61.576175689697266,1.0
28.479982376098633,0.0
52.55274963378906,1.0
45.53034210205078,1.0
27.259531021118164,0.0
13.30909252166748,0.0
28.448022842407227,0.0
39.273433685302734,0.0
54.42050552368164,0.0
24.069313049316406,0.0
53.08259582519531,0.0
20.00926971435547,0.0
54.321861267089844,1.0
